company,title,pros,cons
NEORIS,Buena para empezar,Trabajo remoto. Equipamiento. Buen ambiente laboral. Buenos clientes bancarios.,Sueldo poco competitivo para niveles semi senior en adelante.
NEORIS,Experiencia,"Contrato claro, pago de bono extra para servicios de internet. Brindan el equipamiento para trabajar, notebook, monitor, teclado, auriculares. Buen ambiente laboral, cumplen con las licencias por enfermedad, comunican siempre todo por los medios formales, pero siempre tienen un trato muy humano y cercano con los empleados. Las vacaciones se computan en dias habiles lo cual te da la posibilidad de alargarlas.
La verdad lindo lugar para comenzar tu vida laboral coorporativa.","Las notebooks con un poco viejas, aunque funcionan bien pero podrian invertir mas en equipos. Si sos del interior quedas excluido de algunas actividades y beneficios como los festejos de fin de año. Si no viajas a los festejos, no recibis  ningun regalo de fin de año extra. En la pandemia estuvieron buenos los bonos de fin de año frente a la imposibilidad de reuniones fisicas."
NEORIS,Normal,Buen sueldo pero depende de la experiencia,Mucho trabajo por momentos estresante y mala organización
NEORIS,Buena Empresa,"Buena empresa, apoyo de mi líder, proyectos retadores","Crecimiento lento, no es 100% nómina"
NEORIS,Falta de compromiso,"- Pagan en tiempo y forma.
- hay utilidades y aguinaldo (los de ley).
- buen ambiente con el equipo.","Seguro de bajo nivel.
El sueldo se queda estancado aun cuando tienes buen desempeño.
Las evaluaciones no corresponden al lider que estas.
No hay cursos para lo que en verdad necesitas sacar el trabajo. 
Siempre debes de estar haciendo algo aunque no tengas nada  de trabajo real que hacer.
Siempre estas en el mismo proyecto.
No hay incentivos de ningun tipo."
NEORIS,Opinion sobre Neoris,"Buen sueldo al inicio.
Cursos virtuales de inglés.","No hay incremento anual de sueldo.
Falta de seguimiento profesional."
NEORIS,Muy buena empresa de IT si caes en el equipo correcto,"Sueldo competitivo aunque depende del desempeño y revisiones 
Bune horario y si trabajas por resultados genial",Depende del equipo lo mismo no es tan bueno
NEORIS,Bueno para comenzar,Los clientes con los que te asignan,No encuentro ninguna desventaja por ahora
NEORIS,Algunos puntos sobre la empresa,Ideal para tu primer experiencia en el mundo IT porque podes entrar por labs. Linda oficina de Rosario,"Sueldos bajísimos, pocos proyectos, me tocó trabajar en 2 proyectos legacy y uno con Basic (no Visual Basic, sino BASIC de QBASIC)"
NEORIS,sirve para juniors,"te toman sin experiencia, poder empezar carrera","sueldo bajo, haces el laburo de 3 personas"
NEORIS,una consultora mas,"estable, nada mas que pueda decir","como una consultora mas del mercado, nada que agregar"
NEORIS,A mejorar,"Horario laboral, tiempo de calidad",gente no preparada en puestos que no les corresponde
NEORIS,Recursos Humano,Permite el desarrollo de Carrera,no hay desventajas por ahora para nombrar
NEORIS,Neoris,Buena empresa formal para laborar,"Malos sueldos, no hay oportunidad de crecimiento"
NEORIS,"Buena empresa, tacaños","-EPAM (IA)
- Prestaciones (3/5)",Falta de crecimiento en mi opinion
NEORIS,Excelente lugar para trabajar,"Tienen un buen ambiente laboral, no son opresivos y te dan la libertad de trabajar libremente con sus clientes, en mi caso con BBVA. Mientras trabaje con ellos, me dieron buen seguimiento y todo bien.","Como en cualquier consultora, si no hay demanda de proyectos, te dan de baja."
NEORIS,Increible,Excelente ambiente laboral y compañerismo,"Ninguna desventaja aparente, Todo ha sido excelente"
NEORIS,Evealuacion,"Buen ambiente de trabajo, apoyo a sus colaboradores con capacitaciones y buenos proyectos.","Poca claridad en sueldos, sueldos poco bajo de la media ."
NEORIS,Asistente,buen ambiente de trabajo laboral dentro de la empresa,poca promocion para los empleados directos
NEORIS,Buena,Condiciones de trabajo y clientes,Atención si estás en cliente
NEORIS,Otra picadora mas,Depende el proyecto que entres estarás mas o menos presionado,"no suben sueldo anualmente, solo a managers
no hay oportunidades para hacer carrera"
NEORIS,Buen ambiente laboral,"El trabajo es súper dinámico y aprendes cosas nuevas cada día, es parte del mundo corporativo",La presión suele ser fuerte
NEORIS,Lamentable,El Salario no esta mal,"Lamentable organización, managament y condiciones pactadas respecto a reales, no hacer caso a sus ofertas."
NEORIS,Subcontrata,Sueldos adecuados al nivel proporcionado de experiencia,Ninguna por el momento al menos
NEORIS,Empresa nefasta,El salario es competitivo en el mercado,"Contrato para 6 meses, y luego fuera"
NEORIS,Buena empresa,"Trabajo remoto, flexibilidad según cliente",No se me ocurre alguna en este momento
NEORIS,Buena,Con cliente bueno se esta muy bien,El equipo de RRHH es un poco lento
NEORIS,Developer,"Buena empresa para arrancar en el mundo IT
Da capacitaciones para que te puedas formar",Poca expectativa en aumento salarial
NEORIS,Consultora al uso,"Conciliación vida personal y laboral.
Salario dependiendo de  tu negociación puede estar en un rango acorde con el puesto que desarrollas.",Como en la mayoría dependiendo de proyecto e equipos puede haber más o menos caos. En mi caso en los proyectos que he estado ha costado cerrar funcionalidades con cliente por lo que se empieza a desarrollar con muchas posibilidades de que se tengan que realizar cambios.
NEORIS,Soporte de Infraestructura,trabajo formal y con obra social,"sin capacitacion formal, ni plan de crecimiento"
NEORIS,Buen empleo,"Depende del cliente
Full Homeoffice","Poco crecimiento
Cambio constante de proyectos"
NEORIS,Promesas sin cumplir y cero desarrollo profesional,"Nómina, pero con beneficios prometidos y ninguno cumplido","Es muy probable que haya sido el proyecto para el que me incorporaron
- Engaño en las entrevistas que nunca se cumplieron
- No se trabaja en equipo
- Forma de trabajo primitiva
- Sin documentación
- Jefes (porque de algún modo hay que llamarlos) desastrozos
- No avisaron en la entrevista de guardias y ""condiciones"" para poderse tomar las vacaciones
... nada bueno...  muchas mas cosas que prefiero olvidarlas..."
NEORIS,Buena empresa donde se puede hacer carrera,Puedes tener estabilidad a largo plazo.,Puede ser dificil subir de nivel.
NEORIS,Sueldo,"Buenos beneficios, medicina prepagada, dias libres","no realizan aumento, es muy dificil"
NEORIS,Buena empresa,Es un trabajo que te da estabilidad,Es un poco difícilescalar de puesto
NEORIS,Contratan para proyecto y despido,El salario a pesar de una consultora on es bajo,"Me contrataron para realizar un proyecto de 6 meses, cuando lo terminé y justo antes de terminar mi periodo de prueba me echaron"
NEORIS,Flexibilidad,Muy buen ambiente laboral y flexible remoto/híbrido.,Difícil que te acomoden en un nuevo proyecto al terminar en el que estabas.
NEORIS,neoris,"Buena infraestructura, apoyo técnico, software",Sólo tiene un cliente grande y no tienen muchos proyectos.
NEORIS,Consultora Decente,"Buen ambiente laboral, poca responsabilidad, contratan gente en practicas, posibilidad de aprender mucho y teletrabajo.",Sobretodo en el Sueldo y en los Ascensos.
NEORIS,Anual,"Buenas oficinas, trabajo hibrido y flexibilidad de horarios",Proceso de para aumentar de nivel complejo
NEORIS,Mejorar sueldos,"proyectos, beneficios, buen ambiente laboral, se puede hacer carrera",sueldo bastantes bajos a lo que ofrece el mercado hoy en dia
NEORIS,Buen Lugar de trabajo,"buen sueldo
buenos horarios y prestaciones",administrativamente no es muy ordenado
NEORIS,Regular,"Pagos puntuales, prestaciones decentes que probablemente mejoren una vez que se adapten a EPAM.","Es una empresa de outsourcing cuyo modelo prioriza los márgenes por encima del bienestar del empleado. Esto se traduce en un entorno donde se valora principalmente la ejecución de instrucciones y la capacidad de ajustarse a procesos rígidos. Cuando un colaborador busca aportar desde la integridad o mostrando preocupación genuina por las personas, esas actitudes no son bien recibidas y pueden volverse un factor en su contra."
NEORIS,Todo bien hasta que lo compro EPAM,Siguen respetando el Home Office y tiene todas las prestaciones de ley,Hay mucha rotacion de personal desde que fue adquirida por EPAM y se sepra de Cemex
NEORIS,Buena compañia,"Buen sueldo, prestaciones y variedad de proyectos",Directivos con metodologías y pensamientos del pasado no dejan crecer a la empresa
NEORIS,Año,"Liberta en los horarios 
Home office",Aveces hay mucha carga de trabajo
NEORIS,Normal,Teletrabajo por el cliente al que trabajas,Subidas de salario muy a cuenta gotas
NEORIS,Bueno pero puede mejorar,"sueldo competitivo, buenas prestaciones. programas de estudio para seguir creciendo.",Con respecto a sus empleados que trabajan de manera remota pueden mejorar en la comunicación e integración.
NEORIS,Salarios congelados,Seguro de Gastos Médicos Mayores,"No hay incrementos anuales por inflación
Vales de despensa fijos, tampoco incrementan con inflación
No hay crecimiento
Prestaciones de ley"
NEORIS,Buena paga,Buen pago pero no se preocupan por los colaboradores te dejan en el olvido con el cliente,"El pago es mensual, solo es cuestión de adaptarse"
NEORIS,Sap consultant,"Home office
Vales de despensa","Te hacen quedarte mas horas que tu horario
No hay buena comunicación entre equipos lo que genera problemas en la entrega
Casi no hay prestaciones"
NEORIS,Normal,Trabajo remoto y horario flexible,No hay aguinaldo y  no hay horas extras
